Date,Close,Open,High,Low,Volume,Change
2001年1月,"5,998.49","5,956.15","5,999.18","5,603.92",-,1.22%
2001年2月,"5,367.48","5,936.31","5,970.30","5,302.79",-,-10.52%
2001年3月,"5,180.45","5,334.23","5,507.26","4,804.40",-,-3.48%
2001年4月,"5,640.03","5,218.48","5,653.14","4,872.92",-,8.87%
2001年5月,"5,454.19","5,661.08","5,728.52","5,378.36",-,-3.30%
2001年6月,"5,225.33","5,453.29","5,546.60","4,967.61",-,-4.20%
2001年7月,"5,085.51","5,215.75","5,299.90","4,773.17",-,-2.68%
2001年8月,"4,689.34","5,073.75","5,204.20","4,668.19",-,-7.79%
2001年9月,"4,079.02","4,712.09","4,712.09","3,463.07",-,-13.02%
2001年10月,"4,341.29","4,097.22","4,546.42","3,914.39",-,6.43%
2001年11月,"4,476.06","4,325.19","4,686.62","4,276.61",-,3.10%
2001年12月,"4,624.58","4,439.55","4,735.21","4,328.77",-,3.32%
2002年1月,"4,461.87","4,617.95","4,720.04","4,385.57",-,-3.52%
2002年2月,"4,462.99","4,483.90","4,499.68","4,210.30",-,0.03%
2002年3月,"4,688.02","4,442.40","4,696.18","4,436.94",-,5.04%
2002年4月,"4,462.74","4,673.03","4,688.16","4,390.98",-,-4.81%
2002年5月,"4,274.64","4,474.63","4,497.46","4,239.72",-,-4.21%
2002年6月,"3,897.99","4,247.58","4,294.50","3,561.24",-,-8.81%
2002年7月,"3,415.38","3,886.12","3,973.93","2,898.60",-,-12.38%
2002年8月,"3,366.21","3,426.94","3,601.41","3,013.80",-,-1.44%
2002年9月,"2,777.45","3,345.64","3,402.30","2,666.04",-,-17.49%
2002年10月,"3,150.04","2,789.69","3,236.15","2,612.03",-,13.41%
2002年11月,"3,326.65","3,125.20","3,360.29","2,979.43",-,5.61%
2002年12月,"3,063.91","3,327.07","3,393.04","2,984.02",-,-7.90%
2003年1月,"2,937.88","3,057.06","3,232.34","2,733.51",-,-4.11%
2003年2月,"2,754.07","2,973.93","2,983.99","2,633.19",-,-6.26%
2003年3月,"2,618.46","2,770.68","2,909.96","2,401.15",-,-4.92%
2003年4月,"2,953.67","2,627.72","3,015.42","2,599.28",-,12.80%
2003年5月,"2,991.75","2,945.41","3,070.62","2,814.34",-,1.29%
2003年6月,"3,084.10","3,018.66","3,228.60","2,990.32",-,3.09%
2003年7月,"3,210.27","3,085.59","3,220.55","3,008.72",-,4.09%
2003年8月,"3,311.42","3,200.81","3,353.94","3,105.37",1.75B,3.15%
2003年9月,"3,134.99","3,335.98","3,435.79","3,110.93",2.70B,-5.33%
2003年10月,"3,373.20","3,137.10","3,417.64","3,122.36",2.15B,7.60%
2003年11月,"3,424.79","3,381.98","3,472.83","3,287.93",2.01B,1.53%
2003年12月,"3,557.90","3,450.66","3,566.76","3,417.56",1.69B,3.89%
2004年1月,"3,638.44","3,563.39","3,724.29","3,548.18",2.30B,2.26%
2004年2月,"3,725.44","3,660.29","3,765.66","3,594.71",1.96B,2.39%
2004年3月,"3,625.23","3,735.30","3,789.33","3,489.53",2.53B,-2.69%
2004年4月,"3,674.28","3,647.96","3,831.54","3,624.19",2.27B,1.35%
2004年5月,"3,669.63","3,652.30","3,734.69","3,520.61",2.13B,-0.13%
2004年6月,"3,732.99","3,668.14","3,778.76","3,613.42",2.08B,1.73%
2004年7月,"3,647.10","3,749.31","3,773.64","3,530.96",1.84B,-2.30%
2004年8月,"3,594.28","3,622.85","3,656.57","3,452.41",1.72B,-1.45%
2004年9月,"3,640.61","3,609.17","3,740.51","3,601.07",2.29B,1.29%
2004年10月,"3,706.82","3,656.30","3,787.39","3,599.37",2.18B,1.82%
2004年11月,"3,753.75","3,697.94","3,856.01","3,697.94",2.03B,1.27%
2004年12月,"3,821.16","3,751.74","3,838.88","3,735.55",1.80B,1.80%
2005年1月,"3,913.69","3,830.58","3,913.92","3,804.92",1.90B,2.42%
2005年2月,"4,027.16","3,914.21","4,056.69","3,908.80",2.06B,2.90%
2005年3月,"4,067.78","4,025.84","4,108.00","4,009.01",1.88B,1.01%
2005年4月,"3,911.71","4,068.00","4,143.93","3,882.42",2.17B,-3.84%
2005年5月,"4,120.73","3,928.71","4,142.54","3,920.88",1.86B,5.34%
2005年6月,"4,229.35","4,125.85","4,254.80","4,123.77",2.18B,2.64%
2005年7月,"4,451.74","4,224.66","4,483.47","4,089.27",2.23B,5.26%
2005年8月,"4,399.36","4,457.49","4,527.11","4,313.34",1.74B,-1.18%
2005年9月,"4,600.02","4,423.70","4,620.85","4,392.74",2.25B,4.56%
2005年10月,"4,436.45","4,610.01","4,651.11","4,288.15",2.22B,-3.56%
2005年11月,"4,567.41","4,432.91","4,633.44","4,398.64",2.16B,2.95%
2005年12月,"4,715.23","4,581.73","4,780.05","4,580.18",1.77B,3.24%
2006年1月,"4,947.99","4,731.92","4,970.21","4,719.33",2.61B,4.94%
2006年2月,"5,000.45","4,946.77","5,085.20","4,875.80",2.41B,1.06%
2006年3月,"5,220.85","5,008.71","5,247.31","4,927.59",2.85B,4.41%
2006年4月,"5,188.40","5,251.56","5,261.60","5,058.35",2.01B,-0.62%
2006年5月,"4,930.18","5,187.34","5,329.16","4,798.81",3.22B,-4.98%
2006年6月,"4,965.96","4,927.13","5,023.17","4,564.69",3.11B,0.73%
2006年7月,"5,009.42","4,967.07","5,034.06","4,710.61",2.26B,0.88%
2006年8月,"5,165.04","5,010.95","5,196.91","4,932.41",2.06B,3.11%
2006年9月,"5,250.01","5,181.98","5,285.34","5,018.18",2.38B,1.65%
2006年10月,"5,348.73","5,268.63","5,458.21","5,196.07",2.52B,1.88%
2006年11月,"5,327.64","5,351.36","5,518.43","5,272.47",2.39B,-0.39%
2006年12月,"5,541.76","5,341.62","5,553.86","5,239.84",2.27B,4.02%
2007年1月,"5,608.31","5,575.76","5,658.08","5,473.47",2.91B,1.20%
2007年2月,"5,516.32","5,664.09","5,771.69","5,458.65",2.52B,-1.64%
2007年3月,"5,634.16","5,502.09","5,674.26","5,295.58",3.32B,2.14%
2007年4月,"5,960.04","5,623.40","5,981.55","5,609.28",2.34B,5.78%
2007年5月,"6,104.00","5,985.20","6,121.87","5,927.51",2.62B,2.42%
2007年6月,"6,054.93","6,113.18","6,168.15","5,837.14",3.13B,-0.80%
2007年7月,"5,751.08","6,021.10","6,156.16","5,608.28",3.02B,-5.02%
2007年8月,"5,662.70","5,622.11","5,766.56","5,217.70",3.82B,-1.54%
2007年9月,"5,715.69","5,683.10","5,752.89","5,378.04",3.17B,0.94%
2007年10月,"5,847.95","5,670.79","5,882.07","5,630.80",3.17B,2.31%
2007年11月,"5,670.57","5,851.76","5,855.35","5,358.76",3.56B,-3.03%
2007年12月,"5,614.08","5,654.10","5,795.22","5,465.98",2.40B,-1.00%
2008年1月,"4,869.79","5,609.98","5,665.94","4,505.14",4.77B,-13.26%
2008年2月,"4,790.66","4,935.79","5,027.26","4,644.74",3.71B,-1.62%
2008年3月,"4,707.07","4,723.22","4,782.86","4,416.71",3.55B,-1.74%
2008年4月,"4,996.54","4,689.65","5,030.76","4,681.24",3.22B,6.15%
2008年5月,"5,014.28","5,057.52","5,142.10","4,893.86",2.75B,0.36%
2008年6月,"4,434.85","5,008.94","5,012.01","4,348.31",3.71B,-11.56%
2008年7月,"4,392.36","4,410.79","4,448.05","4,002.87",4.37B,-0.96%
2008年8月,"4,482.60","4,345.01","4,552.26","4,267.29",2.80B,2.05%
2008年9月,"4,032.10","4,455.59","4,558.56","3,844.63",4.82B,-10.05%
2008年10月,"3,487.07","4,071.39","4,112.24","2,959.29",6.16B,-13.52%
2008年11月,"3,262.68","3,513.12","3,691.09","2,838.50",3.52B,-6.43%
2008年12月,"3,217.97","3,261.33","3,342.84","2,956.75",2.83B,-1.37%
2009年1月,"2,973.92","3,240.75","3,426.04","2,770.09",3.14B,-7.58%
2009年2月,"2,702.48","2,929.19","3,146.69","2,644.19",3.11B,-9.13%
2009年3月,"2,807.34","2,632.92","2,918.23","2,465.46",4.01B,3.88%
2009年4月,"3,159.85","2,792.59","3,194.25","2,741.27",3.42B,12.56%
2009年5月,"3,277.65","3,180.26","3,355.95","3,115.27",3.04B,3.73%
2009年6月,"3,140.44","3,339.38","3,399.59","3,097.39",2.92B,-4.19%
2009年7月,"3,426.27","3,163.53","3,455.51","2,957.83",2.83B,9.10%
2009年8月,"3,653.54","3,427.45","3,724.34","3,396.60",2.63B,6.63%
2009年9月,"3,795.41","3,676.95","3,856.67","3,535.49",3.35B,3.88%
2009年10月,"3,607.69","3,802.03","3,913.81","3,600.46",3.39B,-4.95%
2009年11月,"3,680.15","3,603.64","3,868.16","3,549.65",2.88B,2.01%
2009年12月,"3,936.33","3,720.28","3,976.92","3,714.78",2.18B,6.96%
2010年1月,"3,739.46","3,952.21","4,088.18","3,688.79",2.58B,-5.00%
2010年2月,"3,708.80","3,713.17","3,831.38","3,545.91",3.20B,-0.82%
2010年3月,"3,974.01","3,739.56","4,028.64","3,724.84",2.88B,7.15%
2010年4月,"3,816.99","3,996.53","4,086.00","3,749.53",2.92B,-3.95%
2010年5月,"3,507.56","3,796.79","3,847.21","3,287.57",4.73B,-8.11%
2010年6月,"3,442.89","3,481.66","3,759.54","3,343.59",3.56B,-1.84%
2010年7月,"3,643.14","3,386.79","3,720.63","3,321.35",3.03B,5.82%
2010年8月,"3,490.79","3,675.88","3,802.94","3,414.84",2.51B,-4.18%
2010年9月,"3,715.18","3,507.87","3,824.98","3,478.85",3.04B,6.43%
2010年10月,"3,833.50","3,722.93","3,894.91","3,638.34",2.57B,3.18%
2010年11月,"3,610.44","3,865.04","3,961.70","3,591.78",3.19B,-5.82%
2010年12月,"3,804.78","3,634.61","3,936.06","3,620.64",2.27B,5.38%
2011年1月,"4,005.50","3,847.63","4,079.30","3,790.96",2.91B,5.28%
2011年2月,"4,110.35","4,037.14","4,169.87","3,984.36",3.24B,2.62%
2011年3月,"3,989.18","4,126.66","4,145.73","3,693.94",2.78B,-2.95%
2011年4月,"4,106.92","4,014.58","4,110.41","3,862.40",2.39B,2.95%
2011年5月,"4,006.94","4,137.75","4,137.97","3,884.55",2.93B,-2.43%
2011年6月,"3,982.21","4,014.84","4,015.85","3,742.31",2.92B,-0.62%
2011年7月,"3,671.28","3,981.96","4,023.59","3,645.79",3.56B,-7.81%
2011年8月,"3,256.76","3,718.11","3,722.59","2,891.11",5.10B,-11.29%
2011年9月,"2,981.96","3,273.05","3,295.54","2,693.21",4.55B,-8.44%
2011年10月,"3,242.84","2,913.07","3,411.22","2,808.22",3.69B,8.75%
2011年11月,"3,154.62","3,162.57","3,228.11","2,793.22",3.82B,-2.72%
2011年12月,"3,159.81","3,151.35","3,244.89","2,941.40",2.64B,0.16%
2012年1月,"3,298.55","3,158.24","3,368.66","3,114.45",3.12B,4.39%
2012年2月,"3,452.45","3,320.32","3,489.48","3,320.32",3.31B,4.67%
2012年3月,"3,423.81","3,444.53","3,600.48","3,362.56",3.34B,-0.83%
2012年4月,"3,212.80","3,439.17","3,473.20","3,088.36",3.67B,-6.16%
2012年5月,"3,017.01","3,265.12","3,273.72","2,970.10",3.72B,-6.09%
2012年6月,"3,196.65","3,028.30","3,196.65","2,922.26",3.86B,5.95%
2012年7月,"3,291.66","3,197.04","3,334.82","3,065.47",3.80B,2.97%
2012年8月,"3,413.07","3,298.70","3,523.85","3,232.46",2.84B,3.69%
2012年9月,"3,354.82","3,401.96","3,588.02","3,354.82",3.15B,-1.71%
2012年10月,"3,429.27","3,348.07","3,542.58","3,348.62",3.35B,2.22%
2012年11月,"3,557.28","3,420.48","3,584.73","3,341.52",3.13B,3.73%
2012年12月,"3,641.07","3,567.90","3,684.16","3,563.02",2.35B,2.36%
2013年1月,"3,732.60","3,702.66","3,793.26","3,680.61",2.04B,2.51%
