Date,Close,Open,High,Low,Volume,Change
1999年10月,"2,966.43","2,729.04","2,978.63","2,632.01",-,8.02%
1999年11月,"3,336.16","2,970.93","3,469.35","2,967.63",-,12.46%
1999年12月,"4,069.31","3,341.10","4,090.61","3,321.57",-,21.98%
2000年1月,"3,940.35","4,186.19","4,303.15","3,711.09",-,-3.17%
2000年2月,"4,696.69","3,961.07","4,698.46","3,911.84",-,19.19%
2000年3月,"4,572.83","4,732.82","5,132.52","4,355.69",-,-2.64%
2000年4月,"3,860.66","4,494.89","4,572.84","3,227.04",-,-15.57%
2000年5月,"3,400.91","3,930.18","3,982.38","3,042.66",-,-11.91%
2000年6月,"3,966.11","3,471.95","4,073.73","3,400.91",-,16.62%
2000年7月,"3,766.99","3,950.59","4,289.06","3,615.79",-,-5.02%
2000年8月,"4,206.35","3,760.95","4,208.73","3,521.14",-,11.66%
2000年9月,"3,672.82","4,252.15","4,259.87","3,614.66",-,-12.68%
2000年10月,"3,369.63","3,714.48","3,714.48","3,026.11",-,-8.25%
2000年11月,"2,597.93","3,316.51","3,480.01","2,523.04",-,-22.90%
2000年12月,"2,470.52","2,644.09","3,028.75","2,288.16",-,-4.90%
2001年1月,"2,772.73","2,474.16","2,892.36","2,251.71",-,12.23%
2001年2月,"2,151.83","2,771.57","2,796.89","2,127.50",-,-22.39%
2001年3月,"1,840.26","2,126.30","2,243.78","1,794.21",-,-14.48%
2001年4月,"2,116.24","1,835.22","2,202.86","1,619.58",-,15.00%
2001年5月,"2,110.49","2,116.24","2,328.05","2,052.41",-,-0.27%
2001年6月,"2,161.24","2,131.12","2,264.58","1,973.70",-,2.40%
2001年7月,"2,027.13","2,156.76","2,181.05","1,934.67",-,-6.21%
2001年8月,"1,805.43","2,051.56","2,102.53","1,777.11",-,-10.94%
2001年9月,"1,498.80","1,802.29","1,836.19","1,387.06",-,-16.98%
2001年10月,"1,690.20","1,491.45","1,792.87","1,458.41",-,12.77%
2001年11月,"1,930.58","1,705.52","1,965.09","1,683.99",-,14.22%
2001年12月,"1,950.40","1,915.13","2,065.69","1,898.98",-,1.03%
2002年1月,"1,934.03","1,965.18","2,098.88","1,851.49",-,-0.84%
2002年2月,"1,731.49","1,928.83","1,942.15","1,696.55",-,-10.47%
2002年3月,"1,845.35","1,745.49","1,946.23","1,742.08",-,6.58%
2002年4月,"1,688.23","1,834.59","1,865.37","1,640.97",-,-8.51%
2002年5月,"1,615.73","1,683.76","1,759.33","1,560.29",-,-4.29%
2002年6月,"1,463.21","1,613.50","1,621.50","1,375.53",-,-9.44%
2002年7月,"1,328.26","1,457.04","1,459.84","1,192.42",-,-9.22%
2002年8月,"1,314.85","1,322.47","1,426.76","1,205.68",-,-1.01%
2002年9月,"1,172.06","1,302.67","1,347.27","1,160.07",-,-10.86%
2002年10月,"1,329.75","1,180.26","1,347.58","1,108.49",-,13.45%
2002年11月,"1,478.78","1,320.95","1,497.44","1,313.72",-,11.21%
2002年12月,"1,335.51","1,507.94","1,521.44","1,327.19",-,-9.69%
2003年1月,"1,320.91","1,346.93","1,467.35","1,303.64",-,-1.09%
2003年2月,"1,337.52","1,324.74","1,352.07","1,261.79",-,1.26%
2003年3月,"1,341.17","1,344.21","1,425.73","1,253.22",-,0.27%
2003年4月,"1,464.31","1,347.54","1,482.49","1,338.23",-,9.18%
2003年5月,"1,595.91","1,463.00","1,599.92","1,451.32",-,8.99%
2003年6月,"1,622.80","1,612.10","1,686.10","1,584.70",-,1.68%
2003年7月,"1,735.02","1,617.30","1,776.10","1,598.92",-,6.92%
2003年8月,"1,810.45","1,731.63","1,813.82","1,640.88",-,4.35%
2003年9月,"1,786.94","1,817.92","1,913.74","1,783.46",-,-1.30%
2003年10月,"1,932.21","1,797.07","1,966.87","1,796.09",-,8.13%
2003年11月,"1,960.26","1,941.31","1,992.27","1,878.07",-,1.45%
2003年12月,"2,003.37","1,972.97","2,015.23","1,887.46",-,2.20%
2004年1月,"2,066.15","2,011.08","2,153.83","1,999.77",-,3.13%
2004年2月,"2,029.82","2,072.13","2,094.92","1,991.05",-,-1.76%
2004年3月,"1,994.22","2,036.92","2,069.02","1,896.91",-,-1.75%
2004年4月,"1,920.15","1,996.45","2,079.12","1,919.39",-,-3.71%
2004年5月,"1,986.74","1,928.72","1,991.87","1,865.40",-,3.47%
2004年6月,"2,047.79","1,978.52","2,055.65","1,960.26",-,3.07%
2004年7月,"1,887.36","2,045.53","2,045.53","1,829.06",-,-7.83%
2004年8月,"1,838.10","1,874.93","1,893.13","1,750.82",-,-2.61%
2004年9月,"1,896.84","1,833.37","1,925.85","1,833.33",-,3.20%
2004年10月,"1,974.99","1,909.59","1,984.18","1,899.33",-,4.12%
2004年11月,"2,096.81","1,975.48","2,117.89","1,969.32",-,6.17%
2004年12月,"2,175.44","2,104.58","2,185.56","2,097.86",-,3.75%
2005年1月,"2,062.41","2,184.75","2,191.60","2,008.68",-,-5.20%
2005年2月,"2,051.72","2,063.27","2,103.45","2,023.00",-,-0.52%
2005年3月,"1,999.23","2,057.47","2,100.57","1,968.58",-,-2.56%
2005年4月,"1,921.65","2,009.09","2,021.82","1,889.83",-,-3.88%
2005年5月,"2,068.22","1,923.23","2,076.80","1,916.03",-,7.63%
2005年6月,"2,056.96","2,067.23","2,106.57","2,039.69",-,-0.54%
2005年7月,"2,184.83","2,060.97","2,201.39","2,050.30",-,6.22%
2005年8月,"2,152.09","2,191.49","2,219.91","2,112.25",-,-1.50%
2005年9月,"2,151.69","2,150.03","2,186.83","2,093.06",-,-0.02%
2005年10月,"2,120.30","2,152.70","2,167.00","2,025.58",-,-1.46%
2005年11月,"2,232.82","2,109.89","2,269.30","2,108.86",-,5.31%
2005年12月,"2,205.32","2,244.85","2,278.16","2,200.51",-,-1.23%
2006年1月,"2,305.82","2,216.53","2,332.92","2,189.91",-,4.56%
2006年2月,"2,281.39","2,294.11","2,313.53","2,232.68",-,-1.06%
2006年3月,"2,339.79","2,288.15","2,353.14","2,239.54",-,2.56%
2006年4月,"2,322.57","2,352.24","2,375.54","2,299.42",-,-0.74%
2006年5月,"2,178.88","2,329.79","2,352.56","2,135.81",-,-6.19%
2006年6月,"2,172.09","2,179.82","2,233.88","2,065.11",17.54B,-0.31%
2006年7月,"2,091.47","2,177.91","2,190.44","2,012.78",26.89B,-3.71%
2006年8月,"2,183.75","2,080.34","2,193.34","2,048.22",18.68B,4.41%
2006年9月,"2,258.43","2,194.56","2,273.30","2,147.44",18.44B,3.42%
2006年10月,"2,366.71","2,257.00","2,379.29","2,224.21",20.92B,4.79%
2006年11月,"2,431.77","2,373.49","2,468.42","2,316.82",17.20B,2.75%
2006年12月,"2,415.29","2,430.75","2,470.95","2,392.95",16.06B,-0.68%
2007年1月,"2,463.93","2,429.72","2,508.93","2,394.66",18.72B,2.01%
2007年2月,"2,416.15","2,474.08","2,531.42","2,395.35",17.10B,-1.94%
2007年3月,"2,421.64","2,377.18","2,459.96","2,331.57",20.27B,0.23%
2007年4月,"2,525.09","2,425.36","2,562.99","2,409.04",18.18B,4.27%
2007年5月,"2,604.52","2,529.95","2,607.90","2,510.57",20.21B,3.15%
2007年6月,"2,603.23","2,614.01","2,634.60","2,534.97",20.01B,-0.05%
2007年7月,"2,545.57","2,617.39","2,724.74","2,545.57",20.21B,-2.21%
2007年8月,"2,596.36","2,538.50","2,627.75","2,386.69",23.99B,2.00%
2007年9月,"2,701.50","2,596.38","2,716.75","2,536.93",15.46B,4.05%
2007年10月,"2,859.12","2,704.25","2,861.51","2,698.14",20.70B,5.83%
2007年11月,"2,660.96","2,835.00","2,835.63","2,539.81",21.07B,-6.93%
2007年12月,"2,652.28","2,654.91","2,734.82","2,553.99",16.08B,-0.33%
2008年1月,"2,389.86","2,653.91","2,661.50","2,202.54",24.81B,-9.89%
